Compilation Hierarchy Node,Combinational ALUTs,Dedicated Logic Registers,Memory Bits,DSP Elements,DSP 9x9,DSP 18x18,Pins,Virtual Pins,Full Hierarchy Name,Entity Name,Library Name
                     |lpm_add_sub:adder[2]|,14 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[2],lpm_add_sub,work
                        |addcore:adder|,14 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[2]|addcore:adder,addcore,work
                           |a_csnbuffer:result_node|,14 (14),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[2]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                     |lpm_add_sub:adder[3]|,6 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[3],lpm_add_sub,work
                        |addcore:adder|,6 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[3]|addcore:adder,addcore,work
                           |a_csnbuffer:result_node|,6 (6),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[3]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                     |mpar_add:sub_par_add|,56 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add,mpar_add,work
                        |lpm_add_sub:adder[0]|,26 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0],lpm_add_sub,work
                           |addcore:adder|,26 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder,addcore,work
                              |a_csnbuffer:result_node|,26 (26),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
